Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
294;Dermatologie;Welche akut lebensbedrohliche Hautreaktion mit ausgedehnter Blasenbildung und Hautabl”sung kann durch Medikamente ausgel”st werden?;Die toxische epidermale Nekrolyse (TEN) bzw. das Stevens-Johnson-Syndrom.;Die Urtikaria factitia;Die bull”se Impetigo;Die Staphylococcal Scalded Skin Syndrome (SSSS);A;Die toxische epidermale Nekrolyse (TEN) bzw. das Stevens-Johnson-Syndrom.;schwer
295;Dermatologie;Welcher h„ufige, gutartige Pigmentfleck im Lumbosakralbereich tritt v. a. bei dunkelh„utigen/asiatischen Neugeborenen auf und verschwindet meist von selbst?;Der Mongolenfleck (kongenitale dermale Melanozytose).;Das Caf‚-au-lait-Fleck;Der kongenitale melanozyt„re N„vus;Der Naevus Ota;A;Der Mongolenfleck (kongenitale dermale Melanozytose).;leicht
296;Kinder-/Jugendgyn„kologie;Was ist das h„ufigste gyn„kologische Problem im Vorschul-/Kindesalter?;Die vulv„re Lichen sclerosus;Die Labiensynechie;Die (unspezifische) Vulvovaginitis.;Die Candida-Vulvovaginitis;C;Die (unspezifische) Vulvovaginitis.;mittel
297;Kinder-/Jugendgyn„kologie;In welchem Alter liegt durchschnittlich die Menarche (erste Regelblutung)?;Im Mittel um das 12.?13. Lebensjahr.;Im Mittel um das 10.?11. Lebensjahr;Im Mittel um das 16. Lebensjahr;Im Mittel um das 14.?15. Lebensjahr;A;Im Mittel um das 12.?13. Lebensjahr.;leicht
298;Kinder-/Jugendgyn„kologie;Warum sind unregelm„áige Zyklen in den ersten 1?2 Jahren nach der Menarche meist physiologisch?;Weil die Menarche h„ufig durch eine Corpus-luteum-Insuffizienz verz”gert wird;Weil der ™strogenspiegel in den ersten Jahren dauerhaft erh”ht ist;Weil die Zyklen anfangs h„ufig anovulatorisch sind, bis sich die Hypothalamus-Hypophysen-Ovar-Achse eingespielt hat.;Weil Progesteronmangel zu verl„ngerten Follikelphasen fhrt;C;Weil die Zyklen anfangs h„ufig anovulatorisch sind, bis sich die Hypothalamus-Hypophysen-Ovar-Achse eingespielt hat.;mittel
299;Kinder-/Jugendgyn„kologie;Was versteht man unter prim„rer Dysmenorrh”?;Schmerzhafte Regelblutung bei nachgewiesener Endometriose;Ausbleiben der Regelblutung bei organischer Ursache;Schmerzhafte Regelblutung infolge eines Uterus myomatosus;Schmerzhafte Regelblutung ohne organische Ursache (krampfartige Unterbauchschmerzen, prostaglandinvermittelt).;D;Schmerzhafte Regelblutung ohne organische Ursache (krampfartige Unterbauchschmerzen, prostaglandinvermittelt).;mittel
300;Kinder-/Jugendgyn„kologie;Welches Syndrom geht mit Oligo-/Amenorrh”, Hyperandrogenismus und polyzystischen Ovarien einher?;Das polyzystische Ovarsyndrom (PCOS).;Das adrenogenitale Syndrom (AGS);Das Turner-Syndrom;Das Kallmann-Syndrom;A;Das polyzystische Ovarsyndrom (PCOS).;mittel
301;Kinder-/Jugendgyn„kologie;Wann gilt eine ausbleibende Menarche als prim„re Amenorrh” (abkl„rungsbedrftig)?;Keine Angabe;Wenn die Menarche bis zum 15.?16. Lebensjahr (bzw. bei fehlender Pubert„tsentwicklung frher) ausbleibt.;Keine Angabe;Keine Angabe;B;Wenn die Menarche bis zum 15.?16. Lebensjahr (bzw. bei fehlender Pubert„tsentwicklung frher) ausbleibt.;schwer
302;Kinder-/Jugendgyn„kologie;Gegen welchen Erreger empfiehlt die STIKO eine Impfung zur Krebspr„vention bei Jugendlichen?;Gegen humane Papillomaviren (HPV) ? zur Pr„vention von Zervix- und anderen HPV-assoziierten Karzinomen.;Keine Angabe;Keine Angabe;Keine Angabe;A;Gegen humane Papillomaviren (HPV) ? zur Pr„vention von Zervix- und anderen HPV-assoziierten Karzinomen.;mittel
303;Kinder-/Jugendgyn„kologie;In welchem Alter wird die HPV-Impfung idealerweise durchgefhrt?;Keine Angabe;M”glichst vor dem ersten Sexualkontakt, empfohlen im Alter von ca. 9?14 Jahren.;Keine Angabe;Keine Angabe;B;M”glichst vor dem ersten Sexualkontakt, empfohlen im Alter von ca. 9?14 Jahren.;mittel
304;Kinder-/Jugendgyn„kologie;Welche einfache, effektive Maánahme schtzt vor sexuell bertragbaren Infektionen (STI)?;Keine Angabe;Die Verwendung von Kondomen.;Keine Angabe;Keine Angabe;B;Die Verwendung von Kondomen.;leicht
305;Kinder-/Jugendgyn„kologie;Nach welchem Schema wird die Pubert„tsentwicklung klinisch beurteilt?;Keine Angabe;Keine Angabe;Nach den Tanner-Stadien (Brust-, Genital- und Schambehaarungsentwicklung).;Keine Angabe;C;Nach den Tanner-Stadien (Brust-, Genital- und Schambehaarungsentwicklung).;mittel
306;Sozialp„diatrie;Welche Formen der Kindesmisshandlung werden grunds„tzlich unterschieden?;Keine Angabe;Keine Angabe;K”rperliche Misshandlung, Vernachl„ssigung, emotionale/psychische Misshandlung und sexueller Missbrauch.;Keine Angabe;C;K”rperliche Misshandlung, Vernachl„ssigung, emotionale/psychische Misshandlung und sexueller Missbrauch.;mittel
307;Sozialp„diatrie;Welches schwere Sch„del-Hirn-Trauma entsteht durch heftiges Schtteln eines S„uglings?;Keine Angabe;Keine Angabe;Das Schtteltrauma (Shaken-Baby-Syndrom) ? typisch sind subdurale H„matome und retinale Blutungen.;Keine Angabe;C;Das Schtteltrauma (Shaken-Baby-Syndrom) ? typisch sind subdurale H„matome und retinale Blutungen.;schwer
308;Sozialp„diatrie;Welche Befundkonstellation ist hochverd„chtig auf ein Schtteltrauma?;Die Kombination aus subduralen Blutungen, retinalen (Netzhaut-)Blutungen und Hirnsch„digung ohne ad„quates Unfalltrauma.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Kombination aus subduralen Blutungen, retinalen (Netzhaut-)Blutungen und Hirnsch„digung ohne ad„quates Unfalltrauma.;schwer
309;Sozialp„diatrie;Welche Maánahmen senken nachweislich das Risiko des pl”tzlichen Kindstods (SIDS)?;Keine Angabe;Keine Angabe;Rckenlage zum Schlafen, eigener Schlafplatz im Elternschlafzimmer, rauchfreie Umgebung, Vermeidung von šberw„rmung und kein weiches Bettzeug.;Keine Angabe;C;Rckenlage zum Schlafen, eigener Schlafplatz im Elternschlafzimmer, rauchfreie Umgebung, Vermeidung von šberw„rmung und kein weiches Bettzeug.;mittel
310;Sozialp„diatrie;Was bedeutet ?Kindeswohlgef„hrdung? und welche Stelle ist im Verdachtsfall einzuschalten?;Keine Angabe;"Eine erhebliche Gef„hrdung des k”rperlichen, geistigen oder seelischen Wohls eines Kindes; im Verdachtsfall ist das Jugendamt einzubeziehen.";Keine Angabe;Keine Angabe;B;"Eine erhebliche Gef„hrdung des k”rperlichen, geistigen oder seelischen Wohls eines Kindes; im Verdachtsfall ist das Jugendamt einzubeziehen.";mittel
311;Sozialp„diatrie;Welche Hinweise (Red Flags) k”nnen bei k”rperlicher Untersuchung auf eine Misshandlung deuten?;Keine Angabe;H„matome/Verletzungen an untypischen Stellen, unterschiedliche Verletzungsalter, Verletzungen, die nicht zur geschilderten Anamnese passen, sowie verz”gerte Vorstellung.;Keine Angabe;Keine Angabe;B;H„matome/Verletzungen an untypischen Stellen, unterschiedliche Verletzungsalter, Verletzungen, die nicht zur geschilderten Anamnese passen, sowie verz”gerte Vorstellung.;mittel
312;Sozialp„diatrie;Was umfasst der Begriff der Vernachl„ssigung nach WHO?;Keine Angabe;Das anhaltende Vers„umnis (durch Sorgeberechtigte), die Grundbedrfnisse des Kindes (Gesundheit, Ern„hrung, emotionale und entwicklungsbezogene F”rderung) zu befriedigen.;Keine Angabe;Keine Angabe;B;Das anhaltende Vers„umnis (durch Sorgeberechtigte), die Grundbedrfnisse des Kindes (Gesundheit, Ern„hrung, emotionale und entwicklungsbezogene F”rderung) zu befriedigen.;mittel
313;Sozialp„diatrie;Welche Aufgabe haben die Frherkennungsuntersuchungen (U-Untersuchungen)?;Keine Angabe;Keine Angabe;Die regelm„áige šberwachung von Wachstum, Entwicklung und Gesundheit zur frhzeitigen Erkennung von Auff„lligkeiten und Erkrankungen.;Keine Angabe;C;Die regelm„áige šberwachung von Wachstum, Entwicklung und Gesundheit zur frhzeitigen Erkennung von Auff„lligkeiten und Erkrankungen.;leicht
314;Sozialp„diatrie;Was beschreibt die Bindungstheorie fr die kindliche Entwicklung?;Keine Angabe;"Die Bedeutung einer sicheren emotionalen Bindung an Bezugspersonen fr die gesunde psychische Entwicklung; unsichere/„ngstliche Bindungsmuster gelten als Risiko.";Keine Angabe;Keine Angabe;B;"Die Bedeutung einer sicheren emotionalen Bindung an Bezugspersonen fr die gesunde psychische Entwicklung; unsichere/„ngstliche Bindungsmuster gelten als Risiko.";mittel
315;Sozialp„diatrie;Welche Folgen kann chronische Vernachl„ssigung fr die kindliche Entwicklung haben?;Keine Angabe;Entwicklungsverz”gerungen, Gedeih-/Wachstumsst”rungen, vermindertes Selbstwertgefhl und Verhaltensauff„lligkeiten.;Keine Angabe;Keine Angabe;B;Entwicklungsverz”gerungen, Gedeih-/Wachstumsst”rungen, vermindertes Selbstwertgefhl und Verhaltensauff„lligkeiten.;mittel
316;Psychische Erkrankungen;Welche Kernsymptome kennzeichnen die ADHS?;Keine Angabe;Keine Angabe;Unaufmerksamkeit, Hyperaktivit„t und Impulsivit„t, situationsbergreifend und ber mindestens 6 Monate, mit Beginn vor dem 12. Lebensjahr.;Keine Angabe;C;Unaufmerksamkeit, Hyperaktivit„t und Impulsivit„t, situationsbergreifend und ber mindestens 6 Monate, mit Beginn vor dem 12. Lebensjahr.;mittel
317;Psychische Erkrankungen;Welches Medikament ist h„ufig Mittel der Wahl in der medikament”sen ADHS-Therapie?;Keine Angabe;Keine Angabe;Methylphenidat (Stimulans).;Keine Angabe;C;Methylphenidat (Stimulans).;mittel
318;Psychische Erkrankungen;Welche Trias kennzeichnet die Autismus-Spektrum-St”rung im klassischen Sinne?;Keine Angabe;Keine Angabe;Beeintr„chtigungen der sozialen Interaktion und Kommunikation sowie stereotype/repetitive Verhaltensweisen und eingeschr„nkte Interessen.;Keine Angabe;C;Beeintr„chtigungen der sozialen Interaktion und Kommunikation sowie stereotype/repetitive Verhaltensweisen und eingeschr„nkte Interessen.;mittel
319;Psychische Erkrankungen;Wie ist die Anorexia nervosa gekennzeichnet?;Keine Angabe;Keine Angabe;Keine Angabe;Durch selbst herbeigefhrtes deutliches Untergewicht, intensive Angst vor Gewichtszunahme und eine K”rperschemast”rung.;D;Durch selbst herbeigefhrtes deutliches Untergewicht, intensive Angst vor Gewichtszunahme und eine K”rperschemast”rung.;mittel
320;Psychische Erkrankungen;Welche schwerwiegenden somatischen Komplikationen k”nnen bei der Anorexia nervosa auftreten?;Keine Angabe;Bradykardie und Herzrhythmusst”rungen, Elektrolytst”rungen, Amenorrh”, Osteoporose sowie das gefrchtete Refeeding-Syndrom bei zu schnellem Kostaufbau.;Keine Angabe;Keine Angabe;B;Bradykardie und Herzrhythmusst”rungen, Elektrolytst”rungen, Amenorrh”, Osteoporose sowie das gefrchtete Refeeding-Syndrom bei zu schnellem Kostaufbau.;schwer
321;Psychische Erkrankungen;Wie unterscheidet sich die Bulimia nervosa von der Anorexia nervosa?;Keine Angabe;Keine Angabe;Keine Angabe;"Bei der Bulimie bestehen wiederkehrende Essanf„lle mit gegensteuernden Maánahmen (z. B. Erbrechen), meist bei normalem oder leicht erh”htem Gewicht; sie wird oft heimlich gehalten.";D;"Bei der Bulimie bestehen wiederkehrende Essanf„lle mit gegensteuernden Maánahmen (z. B. Erbrechen), meist bei normalem oder leicht erh”htem Gewicht; sie wird oft heimlich gehalten.";mittel
322;Psychische Erkrankungen;Welche k”rperlichen Zeichen k”nnen auf wiederholtes selbstinduziertes Erbrechen (Bulimie) hinweisen?;Keine Angabe;Keine Angabe;Zahnschmelzerosionen, Schwielen/Verletzungen am Handrcken (Russell-Zeichen), Speicheldrsenschwellung und Elektrolytst”rungen (z. B. Hypokali„mie).;Keine Angabe;C;Zahnschmelzerosionen, Schwielen/Verletzungen am Handrcken (Russell-Zeichen), Speicheldrsenschwellung und Elektrolytst”rungen (z. B. Hypokali„mie).;schwer
323;Psychische Erkrankungen;Welche Behandlungsbausteine sind bei Essst”rungen zentral?;Keine Angabe;Keine Angabe;Multimodale Therapie aus Psychotherapie, ern„hrungsmedizinischer Begleitung/Gewichtsrehabilitation und somatischer šberwachung, ggf. station„r.;Keine Angabe;C;Multimodale Therapie aus Psychotherapie, ern„hrungsmedizinischer Begleitung/Gewichtsrehabilitation und somatischer šberwachung, ggf. station„r.;mittel
324;Psychische Erkrankungen;Welche Symptome kennzeichnen eine depressive Episode im Kindes-/Jugendalter?;Keine Angabe;Keine Angabe;Keine Angabe;Gedrckte Stimmung bzw. Reizbarkeit, Interessen-/Freudlosigkeit, Antriebsminderung, Schlaf- und Appetitst”rungen sowie ggf. Suizidgedanken.;D;Gedrckte Stimmung bzw. Reizbarkeit, Interessen-/Freudlosigkeit, Antriebsminderung, Schlaf- und Appetitst”rungen sowie ggf. Suizidgedanken.;mittel
325;Psychische Erkrankungen;Welche Substanzklasse wird (zusammen mit Psychotherapie) bei mittelschweren bis schweren Depressionen Jugendlicher eingesetzt?;Keine Angabe;Keine Angabe;Selektive Serotonin-Wiederaufnahmehemmer (SSRI, z. B. Fluoxetin), unter sorgf„ltiger šberwachung.;Keine Angabe;C;Selektive Serotonin-Wiederaufnahmehemmer (SSRI, z. B. Fluoxetin), unter sorgf„ltiger šberwachung.;schwer
326;Psychische Erkrankungen;Was kennzeichnet eine Angstst”rung im Kindesalter (z. B. Trennungsangst)?;Keine Angabe;šberm„áige, anhaltende Angst, die nicht alters-/situationsangemessen ist und das Funktionsniveau (z. B. Schule, soziale Kontakte) deutlich beeintr„chtigt.;Keine Angabe;Keine Angabe;B;šberm„áige, anhaltende Angst, die nicht alters-/situationsangemessen ist und das Funktionsniveau (z. B. Schule, soziale Kontakte) deutlich beeintr„chtigt.;mittel
327;Psychische Erkrankungen;Welche Verhaltensst”rung ist durch wiederholtes dissoziales/aggressives Verhalten mit Verletzung von Regeln und Rechten anderer gekennzeichnet?;Keine Angabe;Keine Angabe;Die St”rung des Sozialverhaltens (Conduct Disorder).;Keine Angabe;C;Die St”rung des Sozialverhaltens (Conduct Disorder).;mittel
328;Psychische Erkrankungen;Welche psychotherapeutische Methode gilt bei vielen kinder- und jugendpsychiatrischen St”rungen (z. B. Angst, Zwang, Depression) als evidenzbasiert?;Keine Angabe;Keine Angabe;Die (kognitive) Verhaltenstherapie.;Keine Angabe;C;Die (kognitive) Verhaltenstherapie.;mittel
329;Psychische Erkrankungen;Was ist beim „rztlichen Umgang mit Suizidgedanken eines Jugendlichen grundlegend wichtig?;Keine Angabe;Keine Angabe;Suizidalit„t aktiv und offen ansprechen, das Ausmaá einsch„tzen, fr Sicherheit/Schutz sorgen und zeitnah fachpsychiatrische Hilfe einbeziehen.;Keine Angabe;C;Suizidalit„t aktiv und offen ansprechen, das Ausmaá einsch„tzen, fr Sicherheit/Schutz sorgen und zeitnah fachpsychiatrische Hilfe einbeziehen.;mittel
330;Leitsymptom: Fieber;Ab welcher K”rpertemperatur (rektal) spricht man bei Kindern definitionsgem„á von Fieber?;Ab ca. 38,0 øC rektal (?38,5 øC gilt als deutliches Fieber).;Keine Angabe;Keine Angabe;Keine Angabe;A;Ab ca. 38,0 øC rektal (?38,5 øC gilt als deutliches Fieber).;leicht
331;Leitsymptom: Fieber;Welche Warnzeichen (?Red Flags?) machen bei Fieber eine sofortige Abkl„rung erforderlich?;Reduzierter Allgemeinzustand, Petechien/Purpura, Nackensteife, Bewusstseinstrbung, Atemnot, schlechte Hautperfusion und Fieber beim jungen S„ugling (<3 Monate).;Keine Angabe;Keine Angabe;Keine Angabe;A;Reduzierter Allgemeinzustand, Petechien/Purpura, Nackensteife, Bewusstseinstrbung, Atemnot, schlechte Hautperfusion und Fieber beim jungen S„ugling (<3 Monate).;mittel
332;Leitsymptom: Fieber;An welche Erkrankung ist bei Fieber ber mehr als 5 Tage bei einem Kleinkind mit Konjunktivitis und Exanthem zu denken?;Keine Angabe;Keine Angabe;Keine Angabe;An das Kawasaki-Syndrom.;D;An das Kawasaki-Syndrom.;mittel
333;Leitsymptom: Fieber;Welche Maánahme hat bei Fieber beim jungen S„ugling (<3 Monate) mit reduziertem Zustand Priorit„t?;Keine Angabe;Keine Angabe;Eine zgige station„re Abkl„rung mit Fokussuche inklusive Blut-, Urin- und ggf. Liquordiagnostik (Sepsisausschluss).;Keine Angabe;C;Eine zgige station„re Abkl„rung mit Fokussuche inklusive Blut-, Urin- und ggf. Liquordiagnostik (Sepsisausschluss).;schwer
334;Leitsymptom: Abgeschlagenheit;Welche h„matologisch-onkologische Erkrankung muss bei anhaltender Abgeschlagenheit mit Bl„sse, Fieber und Blutungszeichen ausgeschlossen werden?;Keine Angabe;Keine Angabe;Eine Leuk„mie.;Keine Angabe;C;Eine Leuk„mie.;mittel
335;Leitsymptom: Abgeschlagenheit;Welche h„ufige internistische Ursache von Mdigkeit/Abgeschlagenheit l„sst sich durch ein Blutbild rasch erkennen?;Keine Angabe;Keine Angabe;Keine Angabe;Eine An„mie (z. B. Eisenmangelan„mie).;D;Eine An„mie (z. B. Eisenmangelan„mie).;leicht
336;Leitsymptom: Abgeschlagenheit;Welche endokrine Erkrankung kann sich mit Mdigkeit, K„lteintoleranz und Leistungsabfall „uáern?;Keine Angabe;Keine Angabe;Keine Angabe;Eine Hypothyreose.;D;Eine Hypothyreose.;mittel
337;Leitsymptom: Exantheme;Welches Exanthem beginnt im Gesicht/hinter den Ohren, ist groáfleckig-konfluierend und wird von Koplik-Flecken begleitet?;Das Masern-Exanthem.;Keine Angabe;Keine Angabe;Keine Angabe;A;Das Masern-Exanthem.;mittel
338;Leitsymptom: Exantheme;Welches Exanthem zeigt nach hohem Dreitagefieber bei Entfieberung pl”tzlich ein feinfleckiges Stammexanthem?;Keine Angabe;Keine Angabe;Keine Angabe;Das Exanthema subitum (Dreitagefieber, HHV-6).;D;Das Exanthema subitum (Dreitagefieber, HHV-6).;mittel
339;Leitsymptom: Exantheme;Welches Exanthem zeigt eine ?ohrfeigenartige? Wangenr”tung und ein girlandenf”rmiges Exanthem an den Extremit„ten?;Keine Angabe;Keine Angabe;Die Ringelr”teln (Erythema infectiosum, Parvovirus B19).;Keine Angabe;C;Die Ringelr”teln (Erythema infectiosum, Parvovirus B19).;mittel
340;Leitsymptom: Exantheme;Welche akute Hautreaktion mit flchtigen, juckenden Quaddeln spricht fr eine allergische/urtikarielle Genese?;Die Urtikaria (Nesselsucht).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Urtikaria (Nesselsucht).;leicht
341;Leitsymptom: Blutungsneigung;Welche Blutungsart (petechial, mukokutan) spricht fr eine Thrombozytopenie/-pathie?;Tiefe Muskelblutungen und H„marthrose;Ekchymosen und Suffusionen bei normaler Thrombozytenzahl;Verl„ngerte Blutungszeit bei normaler Thrombozytenzahl;Petechien und Schleimhautblutungen (im Gegensatz zu tiefen Gelenk-/Muskelblutungen bei plasmatischen Gerinnungsst”rungen).;D;Petechien und Schleimhautblutungen (im Gegensatz zu tiefen Gelenk-/Muskelblutungen bei plasmatischen Gerinnungsst”rungen).;mittel
342;Leitsymptom: Blutungsneigung;Welche erworbene Ursache einer akuten Thrombozytopenie tritt h„ufig nach viralem Infekt auf?;Die thrombotisch-thrombozytopenische Purpura (TTP);Das h„molytisch-ur„mische Syndrom (HUS);Die Immunthrombozytopenie (ITP).;Die disseminierte intravasale Koagulopathie (DIC);C;Die Immunthrombozytopenie (ITP).;mittel
343;Leitsymptom: Blutungsneigung;Welche Erkrankung ist bei Blutungsneigung mit Gelenk-/Muskelblutungen und verl„ngerter aPTT zu bedenken?;Eine Vitamin-K-Mangelkoagulopathie;Eine Immunthrombozytopenie (ITP);Eine Von-Willebrand-Erkrankung;Eine H„mophilie (A oder B).;D;Eine H„mophilie (A oder B).;mittel
344;Leitsymptom: Juckreiz;Welche chronische Hauterkrankung ist die h„ufigste Ursache von Juckreiz bei Kindern?;Die Psoriasis vulgaris;Die Urtikaria;Das Kontaktekzem;Das atopische Ekzem (Neurodermitis).;D;Das atopische Ekzem (Neurodermitis).;leicht
345;Leitsymptom: Juckreiz;Welche Parasitose verursacht v. a. n„chtlichen Juckreiz mit Milbeng„ngen?;Die Skabies (Kr„tze).;Ein atopisches Ekzem;Eine Pediculosis (L„usebefall);Eine Tinea corporis;A;Die Skabies (Kr„tze).;mittel
346;Leitsymptom: Juckreiz;Welche internistische/cholestatische Ursache kann generalisierten Juckreiz ohne prim„res Exanthem verursachen?;Eine Cholestase (z. B. bei Leber-/Gallenwegserkrankung).;Eine Psoriasis;Eine Urtikaria;Ein atopisches Ekzem;A;Eine Cholestase (z. B. bei Leber-/Gallenwegserkrankung).;schwer
347;Leitsymptom: Husten;Welche Erkrankung verursacht pl”tzlichen Husten bei einem zuvor gesunden Kleinkind ohne Infektzeichen?;Ein viraler Krupp;Eine akute obstruktive Bronchitis;Eine Fremdk”rperaspiration.;Eine allergische Reaktion;C;Eine Fremdk”rperaspiration.;mittel
348;Leitsymptom: Husten;Welche Ursache ist bei stakkatoartigen Hustenanf„llen mit inspiratorischem Ziehen typisch?;Eine Mykoplasmen-Pneumonie;Pertussis (Keuchhusten).;Eine Fremdk”rperaspiration;Ein Krupp-Syndrom (Pseudokrupp);B;Pertussis (Keuchhusten).;mittel
349;Leitsymptom: Husten;Welche Erkrankung sollte bei chronischem produktivem Husten, Gedeihst”rung und rezidivierenden Infekten bedacht werden?;Die zystische Fibrose (Mukoviszidose).;Eine prim„re zili„re Dyskinesie (PCD);Ein gastro”sophagealer Reflux;Ein Asthma bronchiale;A;Die zystische Fibrose (Mukoviszidose).;mittel
350;Leitsymptom: Husten;Welcher Husten, der im Schlaf sistiert und in Anwesenheit anderer betont auftritt, spricht fr eine funktionelle Ursache?;Eine Fremdk”rperaspiration;Ein Asthma bronchiale;Ein Krupp-Syndrom;Der habituelle (psychogene) Husten.;D;Der habituelle (psychogene) Husten.;schwer
351;Leitsymptom: Atemnot/Stridor;Was unterscheidet inspiratorischen von exspiratorischem Stridor bezglich der Lokalisation der Obstruktion?;Inspiratorischer Stridor weist auf eine extrathorakale (obere) Atemwegsobstruktion hin, exspiratorischer Stridor/Giemen auf eine intrathorakale (untere) Obstruktion.;Beide Stridorformen weisen auf eine subglottische Obstruktion hin;Inspiratorischer Stridor weist auf eine intrathorakale Obstruktion hin, exspiratorischer auf eine extrathorakale;Exspiratorischer Stridor ist typisch fr eine Larynxobstruktion, inspiratorischer fr eine Bronchialobstruktion;A;Inspiratorischer Stridor weist auf eine extrathorakale (obere) Atemwegsobstruktion hin, exspiratorischer Stridor/Giemen auf eine intrathorakale (untere) Obstruktion.;schwer
352;Leitsymptom: Atemnot/Stridor;Welche Erkrankung verursacht bellenden Husten mit inspiratorischem Stridor beim Kleinkind?;Das Krupp-Syndrom (Pseudokrupp).;Eine Epiglottitis;Eine Fremdk”rperaspiration;Eine bakterielle Tracheitis;A;Das Krupp-Syndrom (Pseudokrupp).;leicht
353;Leitsymptom: Atemnot/Stridor;Welche akute, hochfieberhafte Erkrankung mit Speichelfluss und sitzender Haltung ist ein Atemwegsnotfall?;Ein retropharyngealer Abszess;Das Krupp-Syndrom (Pseudokrupp);Die Epiglottitis.;Eine bakterielle Tracheitis;C;Die Epiglottitis.;mittel
354;Leitsymptom: Atemnot/Stridor;Welche h„ufige Ursache von Atemnot mit exspiratorischem Giemen besteht beim S„ugling im Winter?;Die (RSV-)Bronchiolitis.;Ein akutes Asthma bronchiale;Ein virales Krupp-Syndrom;Eine Pertussis-Infektion;A;Die (RSV-)Bronchiolitis.;mittel
355;Leitsymptom: Synkope;Welche ist die h„ufigste, harmlose Synkopenform im Kindes-/Jugendalter?;Die Synkope bei hypertrophischer Kardiomyopathie;Die orthostatische Hypotension;Die kardiale Synkope bei Long-QT-Syndrom;Die neural vermittelte (vasovagale) Reflexsynkope.;D;Die neural vermittelte (vasovagale) Reflexsynkope.;leicht
356;Leitsymptom: Synkope;Welche Synkopenmerkmale sprechen fr eine gef„hrliche kardiogene Ursache?;Synkope w„hrend k”rperlicher Belastung, ohne Prodromi, im Liegen oder mit positiver Familienanamnese fr pl”tzlichen Herztod.;Synkope nach l„ngerem Stehen in warmer Umgebung;Synkope mit typischen Prodromi wie Schwindel und Schwarzwerden vor Augen;Synkope im Rahmen emotionaler Belastung bei Jugendlichen;A;Synkope w„hrend k”rperlicher Belastung, ohne Prodromi, im Liegen oder mit positiver Familienanamnese fr pl”tzlichen Herztod.;schwer
357;Leitsymptom: Synkope;Welche Untersuchung geh”rt zur Basisabkl„rung jeder Synkope?;Die Echokardiographie;Das Langzeit-EKG (Holter);Die Kipptischuntersuchung;Das EKG (zur Erkennung von Rhythmusst”rungen, z. B. Long-QT-Syndrom).;D;Das EKG (zur Erkennung von Rhythmusst”rungen, z. B. Long-QT-Syndrom).;mittel
358;Leitsymptom: Thoraxschmerz;Welche Genese hat ein Thoraxschmerz bei Kindern am h„ufigsten?;Eine psychogene Ursache ohne organisches Korrelat;Eine harmlose, nicht-kardiale Ursache (z. B. muskuloskelettal, funktionell, pulmonal).;Eine gastro”sophageale Refluxerkrankung;Eine kardiale Ursache (z. B. Myokarditis);B;Eine harmlose, nicht-kardiale Ursache (z. B. muskuloskelettal, funktionell, pulmonal).;mittel
359;Leitsymptom: Thoraxschmerz;Welche kardiale Erkrankung kann sich nach viralem Infekt mit Thoraxschmerz und Herzinsuffizienz „uáern?;Eine hypertrophische Kardiomyopathie;Ein Kawasaki-Syndrom;Ein rheumatisches Fieber;Die Myokarditis (bzw. Perikarditis).;D;Die Myokarditis (bzw. Perikarditis).;mittel
360;Leitsymptom: Thoraxschmerz;Welcher akute pulmonale Notfall verursacht pl”tzlichen Thoraxschmerz und Dyspnoe?;Der Pneumothorax.;Eine Lungenembolie;Eine akute Perikarditis;Eine Pleuritis;A;Der Pneumothorax.;schwer
361;Leitsymptom: Bauchschmerz;Welche akute chirurgische Erkrankung verursacht Schmerzwanderung in den rechten Unterbauch mit Loslassschmerz?;Keine Angabe;Keine Angabe;Die Appendizitis.;Keine Angabe;C;Die Appendizitis.;leicht
362;Leitsymptom: Bauchschmerz;Welche Erkrankung verursacht beim S„ugling kolikartige Schmerzen mit schmerzfreien Intervallen und blutigem Stuhl?;Keine Angabe;Keine Angabe;Keine Angabe;Die Invagination.;D;Die Invagination.;mittel
363;Leitsymptom: Bauchschmerz;Welche metabolische Notfalldiagnose muss bei Bauchschmerz mit Erbrechen, Polyurie und Azidose bedacht werden?;Keine Angabe;Die diabetische Ketoazidose.;Keine Angabe;Keine Angabe;B;Die diabetische Ketoazidose.;mittel
364;Leitsymptom: Bauchschmerz;Welche Alarmzeichen bei chronischem Bauchschmerz sprechen gegen eine funktionelle Ursache?;Keine Angabe;Keine Angabe;Keine Angabe;Gewichtsverlust, n„chtliche Schmerzen, blutige Sthle, Fieber, Erbrechen (galig/blutig) und Wachstumsst”rung.;D;Gewichtsverlust, n„chtliche Schmerzen, blutige Sthle, Fieber, Erbrechen (galig/blutig) und Wachstumsst”rung.;schwer
365;Leitsymptom: Erbrechen;Worauf weist galliges Erbrechen beim S„ugling als Notfallzeichen hin?;Keine Angabe;Keine Angabe;Auf eine intestinale Obstruktion/Ileus (z. B. Malrotation mit Volvulus) ? dringend abkl„rungsbedrftig.;Keine Angabe;C;Auf eine intestinale Obstruktion/Ileus (z. B. Malrotation mit Volvulus) ? dringend abkl„rungsbedrftig.;schwer
